question,value,positive_answer,negative_answer
Should I prefer to maintain my current situation if I have to spend a lot of time and use extra effort to adapt to new changes?,Uncertainty Avoidance,"If I have to spend a lot of time and use extra effort to adapt to new changes, I would prefer to maintain my current situation.",
Should it be disturbing for me if there is an unpredictable change affecting me?,Uncertainty Avoidance,It's disturbing for me if there is an unpredictable change affecting me.,
Is it better for me to continue working in a secure and stable organization than to take a chance at another firm?,Uncertainty Avoidance,It's better for me to continue working in a secure and stable organization than to take a chance at another firm.,
Should facing an uncertain situation always make me feel nervous and anxious?,Uncertainty Avoidance,Facing an uncertain situation always makes me feel nervous and anxious.,
Is it better for me not to make any changes if the current situation is bearable and I'm uncertain of the outcome?,Uncertainty Avoidance,"If the current situation is bearable and I'm uncertain of the outcome if changes are to be made, it is better for me that do not make any changes.",
Will being uncertain of what will happen in the future make me anxious?,Uncertainty Avoidance,Being uncertain of what will happen in the future will make me anxious.,
Should I prefer work that follows a clear job description and process over a job with vague tasks and methods?,Uncertainty Avoidance,"I like to do work that follows a clear job description and process, rather than having a job with vague tasks and methods.",
Will it be hard for me to adapt if the job's tasks and requirements are not clear at the beginning and subject to revision?,Uncertainty Avoidance,"If the job's tasks and requirements are not clear at the beginning and subject to revision, it will be hard for me to adapt after a change is made.",
Should I almost be unable to work with a person who innately accepts imprecision in their work?,Uncertainty Avoidance,I almost cannot work with a person who innately accepts imprecision in their work.,
Will it make me nervous if plans are not followed exactly?,Uncertainty Avoidance,"If plans are not followed exactly, it will make me nervous.",
Are firms with high bonuses but short job durations not as good as stable organizations?,Uncertainty Avoidance,"Although some firms have high bonuses, the job may not last long. In this case, those firms are not as good as stable organizations.",
Should I accept the current situation unless the problems are truly severe and unrecoverable?,Uncertainty Avoidance,"Although the current situation is imperfect, I would accept it unless the problems are truly severe and unrecoverable.",
Should I attempt to avoid uncertain situations if possible?,Uncertainty Avoidance,"If possible, I will attempt to avoid uncertain situations.",
Should I choose an option with low benefits where success is guaranteed over an option with high returns but no guaranteed success?,Uncertainty Avoidance,It's better for me to choose an option with low benefits while success is guaranteed as apposed to choose an option with high returns while no success is guaranteed.,
"Is it enough to satisfy me if a job provides a stable and secure life, even if it is not challenging and exciting?",Uncertainty Avoidance,"Although a certain job is not so challenging and exciting, as long as a stable and secure life is provided for, it is enough to satisfy me.",
Should I maintain the current situation rather than experience a change of unpredictable results?,Uncertainty Avoidance,I would rather maintain the current situation than to experience a change of unpredictable results.,
"Should I not want to try hard to change and adapt, even if I understand it's beneficial?",Uncertainty Avoidance,"Most of the time, while understanding making a change is beneficial, I still don't want to try hard to change and adapt. ",
Should thinking up new ideas and being creative be important to me?,Self-Direction,Thinking up new ideas and being creative is important to me. I like to do things in my own original way. ,
Is it important for me to be rich and have a lot of money and expensive things?,Power,It is important to me to be rich. I want to have a lot of money and expensive things.,
Should I think it is important that every person in the world be treated equally and have equal opportunities in life?,Universalism,I think it is important that every person in the world be treated equally. I believe everyone should have equal opportunities in life.,
Is it very important for me to show my abilities and have people admire what I do?,Achievement,It's very important to me to show my abilities. I want people to admire what I do.,
Should I avoid anything that might endanger my safety?,Security,It is important to me to live in secure surroundings. I avoid anything that might endanger my safety.,
Should I always look for new things to try in life?,Stimulation,I think it is important to do lots of different things in life. I always look for new things to try.,
"Should I believe that people should follow rules at all times, even when no one is watching?",Conformity,"I believe that people should do what they're told. I think people should follow rules at all times, even when no-one is watching.                                                                                         ",
"Is it important for me to listen to people who are different from me, even when I disagree with them?",Universalism,"It is important to me to listen to people who are different from me. Even when I disagree with them, I still want to understand them.",
Should I be satisfied with what I have and not ask for more?,Tradition,I think it's important not to ask for more than what you have. I believe that people should be satisfied with what they have.,
Should I seek every chance I can to have fun and do things that give me pleasure?,Hedonism,I seek every chance I can to have fun. It is important to me to do things that give me pleasure.,
Should I make my own decisions about what I do and plan my activities for myself?,Self-Direction,It is important to me to make my own decisions about what I do. I like to be free to plan and to choose my activities for myself.,
Is it very important for me to help the people around me and care for their well-being?,Benevolence,It's very important to me to help the people around me. I want to care for their well-being.,
Is being very successful and impressing other people important to me?,Achievement,Being very successful is important to me. I like to impress other people.,
Is it very important to me that my country be safe and that the state be on watch against threats from within and without?,Security,It is very important to me that my country be safe. I think the state must be on watch against threats from within and without.,
Should I like to take risks and always look for adventures?,Stimulation,I like to take risks. I am always looking for adventures. ,
Should I always behave properly to avoid doing anything people would say is wrong?,Conformity,It is important to me always to behave properly. I want to avoid doing anything people would say is wrong.,
Should it be important to me to be in charge and tell others what to do?,Power,It is important to me to be in charge and tell others what to do. I want people to do what I say.,
Should I be loyal to my friends and devote myself to people close to me?,Benevolence,It is important to me to be loyal to my friends. I want to devote myself to people close to me.,
Should I strongly believe that people should care for nature and that looking after the environment is important?,Universalism,I strongly believe that people should care for nature. Looking after the environment is important to me.,
Should I try hard to do what my religion requires because religious belief is important to me?,Tradition,Religious belief is important to me. I try hard to do what my religion requires.,
"Should it be important to me that things are organized and clean, and should I really not like things to be a mess?",Security,It is important to me that things be organized and clean. I really do not like things to be a mess.,
Should I be interested in things and try to understand all sorts of things?,Self-Direction,I think it's important to be interested in things. I like to be curious and to try to understand all sorts of things.,
Should promoting peace among all groups in the world be important to me?,Universalism,I believe all the worlds' people should live in harmony. Promoting peace among all groups in the world is important to me.,
Should I think it is important to be ambitious and show how capable I am?,Achievement,I think it is important to be ambitious. I want to show how capable I am.,
Should I do things in traditional ways and keep up the customs I have learned?,Tradition,I think it is best to do things in traditional ways. It is important to me to keep up the customs I have learned. ,
Should I enjoy life's pleasures and like to ‘spoil' myself?,Hedonism,Enjoying life's pleasures is important to me. I like to ‘spoil' myself.,
Should I try to support those I know by responding to their needs?,Benevolence,It is important to me to respond to the needs of others. I try to support those I know.,
Should I always show respect to my parents and to older people and be obedient?,Conformity,I believe I should always show respect to my parents and to older people. It is important to me to be obedient.,
"Should I want everyone to be treated justly, even people I don't know, and protect the weak in society?",Universalism,"I want everyone to be treated justly, even people I don't know. It is important to me to protect the weak in society.",
Should I like surprises and find it important to have an exciting life?,Stimulation,I like surprises. It is important to me to have an exciting life.,
Should I try hard to avoid getting sick because staying healthy is very important to me?,Security,I try hard to avoid getting sick. Staying healthy is very important to me.,
Should getting ahead in life and striving to do better than others be important to me?,Achievement,Getting ahead in life is important to me. I strive to do better than others.,
Should I try to see what is good in people who have hurt me and not hold a grudge?,Benevolence,Forgiving people who have hurt me is important to me. I try to see what is good in them and not to hold a grudge.,
Should it be important to me to be independent and rely on myself?,Self-Direction,It is important to me to be independent. I like to rely on myself.,
Is having a stable government important to me because I am concerned that the social order be protected?,Security,Having a stable government is important to me. I am concerned that the social order be protected.,
Should I always be polite to other people and try never to disturb or irritate them?,Conformity,It is important to me to be polite to other people all the time. I try never to disturb or irritate others.,
Is having a good time very important to me?,Hedonism,I really want to enjoy life. Having a good time is very important to me.,
Should I try not to draw attention to myself to be humble and modest?,Tradition,It is important to me to be humble and modest. I try not to draw attention to myself.,
Should I always want to be the one who makes the decisions and like to be the leader?,Power,I always want to be the one who makes the decisions. I like to be the leader.,
Should I believe that people should not change nature and that it is important to adapt to it?,Universalism,It is important to me to adapt to nature and to fit into it. I believe that people should not change nature.,
Should I hope people think that I can do better than most others?,Desire to Gain Face,I hope people think that I can do better than most others.,
Should I hope that I can talk about things that most others do not know?,Desire to Gain Face,I hope that I can talk about things that most others do not know.,
Should I hope to possess things that most others thirst for?,Desire to Gain Face,I hope that I can possess things that most others thirst for.,
Is it important for me to get praise and admiration?,Desire to Gain Face,It is important for me to get praise and admiration.,
Should I hope to let people know that I have association with some big names?,Desire to Gain Face,I hope to let people know that I have association with some big names.,
Should I hope that I have a better life than most others in others' view?,Desire to Gain Face,I hope that I have a better life than most others in others'view.,
Should I always avoid talking about my weaknesses?,Fear of Losing Face,l always avoid talking about my weakness.,
"Should I try to avoid letting others think that I am ignorant, even if I really am?",Fear of Losing Face,"I try to avoid letting others think that I am ignorant, even if I really am.",
Should I do my best to hide my weakness before others?,Fear of Losing Face,I do my best to hide my weakness before others.,
Should I try not to tell others if I work in an organization of bad reputation?,Fear of Losing Face,"If I work in an organization of bad reputation, I will try not to tell others about that.",
"Should it be hard for me to acknowledge a mistake, even if I am really wrong?",Fear of Losing Face,"It is hard for me to acknowledge a mistake, even if I amreally wrong.",
Should I take time to figure out what I'm really feeling?,Emotional Processing,I take time to figure out what I'm really feeling.,
Should I delve into my feelings to get a thorough understanding of them?,Emotional Processing,I delve into my feelings to get a thorough understanding of them.,
Should I realize that my feelings are valid and important?,Emotional Processing,I realize that my feelings are valid and important.,
Should I acknowledge my emotions?,Emotional Processing,I acknowledge my emotions.,
Should I let my feelings come out freely?,Emotional Expression,I let my feelings come out freely.,
Should I take time to express my emotions?,Emotional Expression,I take time to express my emotions.,
Should I allow myself to express my emotions?,Emotional Expression,I allow myself to express my emotions.,
Should I feel free to express my emotions?,Emotional Expression,I feel free to express my emotions.,
Is everything in the universe somehow related to each other?,Causality:Interactionism,Everything in the universe is somehow related to each other.,
Is nothing unrelated?,Causality:Interactionism,Nothing is unrelated.,
Is everything in the world intertwined in a causal relationship?,Causality:Interactionism,Everything in the world is intertwined in a causal relationship.,
Can even a small change in any element of the universe lead to significant alterations in other elements?,Causality:Interactionism,Even a small change in any element of the universe can lead to significant alterations in other elements.,
"Do any phenomena have numerous causes, even if some are not known?",Causality:Interactionism,"Any phenomenon has numerous numbers of causes, although some of the causes are not known.",
"Does any phenomenon entail numerous consequences, even if some are unknown?",Causality:Interactionism,"Any phenomenon entails a numerous number of consequences, although some of them may not be known.",
Is it more desirable to take the middle ground than go to extremes?,Contradiction:Naive Dialecticism,It is more desirable to take the middle ground than go to extremes.,
Should people search for ways to compromise and embrace everyone's opinions when disagreement exists?,Contradiction:Naive Dialecticism,"When disagreement exists among people, they should search for ways to compromise and embrace everyone's opinions.",
Is it more important to find a point of compromise than to debate who is right or wrong when my opinions conflict with others' opinions?,Contradiction:Naive Dialecticism,"It is more important to find a point of compromise than to debate who is right/wrong, when one's opinions conflict with other's opinions.",
"Should I aim to be in harmony, rather than in discord, with others of different opinions than my own?",Contradiction:Naive Dialecticism,"It is desirable to be in harmony, rather than in discord, with others of different opinions than one's own.",
Should we avoid going to extremes?,Contradiction:Naive Dialecticism,We should avoid going to extremes.,
Can current situations change at any time?,Perception of Change:Cyclic,Current situations can change at any time.,
Should I consider the whole rather than its parts to understand a phenomenon?,Attention:Field,"The whole, rather than its parts, should be considered in order to understand a phenomenon.",
Is it more important to pay attention to the whole than its parts?,Attention:Field,It is more important to pay attention to the whole than its parts.,
Is the whole greater than the sum of its parts?,Attention:Field,The whole is greater than the sum of its parts.,
Is it more important to pay attention to the whole context rather than the details?,Attention:Field,It is more important to pay attention to the whole context rather than the details.,
Is it not possible to understand the parts without considering the whole picture?,Attention:Field,It is not possible to understand the parts without considering the whole picture.,
"Should we consider the situation a person is faced with, as well as their personality, to understand their behavior?",Attention:Field,"We should consider the situation a person is faced with, as well as his/her personality, in order to understand one's behavior.",
"Should I daydream and fantasize, with some regularity, about things that might happen to me?",Fantasy,"I daydream and fantasize, with some regularity, about things that might happen to me.",
"Should I often have tender, concerned feelings for people less fortunate than me?",Empathic Concern,"I often have tender, concerned feelings for people less fortunate than me.",
Should I really get involved with the feelings of the characters in a novel?,Fantasy,I really get involved with the feelings of the characters in a novel.,
Should I feel apprehensive and ill-at-ease in emergency situations?,Personal Distress,"In emergency situations, I feel apprehensive and ill-at-ease.",
Should I try to look at everybody's side of a disagreement before I make a decision?,Perspective Taking,I try to look at everybody's side of a disagreement before I make a decision.,
Should I feel kind of protective when I see someone being taken advantage of?,Empathic Concern,"When I see someone being taken advantage of, I feel kind of protective towards them.",
Should I sometimes feel helpless when I am in the middle of a very emotional situation?,Personal Distress,I sometimes feel helpless when I am in the middle of a very emotional situation.,
Should I try to understand my friends better by imagining how things look from their perspective?,Perspective Taking,I sometimes try to understand my friends better by imagining how things look from their perspective.,
"If I'm sure I'm right about something, should I avoid wasting time listening to other people's arguments?",Perspective Taking,"If I'm sure I'm right about something, I don't waste much time listening to other people's arguments.",
Should I feel as though I were one of the characters after seeing a play or movie?,Fantasy,"After seeing a play or movie, I have felt as though I were one of the characters.",
Should being in a tense emotional situation scare me?,Personal Distress,Being in a tense emotional situation scares me.,
Should I be quite touched by things that I see happen?,Empathic Concern,I am often quite touched by things that I see happen.,
Should I believe that there are two sides to every question and try to look at them both?,Perspective Taking,I believe that there are two sides to every question and try to look at them both.,
Should I describe myself as a pretty soft-hearted person?,Empathic Concern,I would describe myself as a pretty soft-hearted person.,
Should I be able to easily put myself in the place of a leading character when I watch a good movie?,Fantasy,"When I watch a good movie, I can very easily put myself in the place of a leading character.",
Should I tend to lose control during emergencies?,Personal Distress,I tend to lose control during emergencies.,
"Should I try to ""put myself in his shoes"" for a while when I'm upset at someone?",Perspective Taking,"When I'm upset at someone, I usually try to ""put myself in his shoes"" for a while.",
Should I imagine how I would feel if the events in an interesting story or novel were happening to me?,Fantasy,"When I am reading an interesting story or novel, I imagine how I would feel if the events in the story were happening to me.",
Should I go to pieces when I see someone who badly needs help in an emergency?,Personal Distress,"When I see someone who badly needs help in an emergency, I go to pieces.",
Should I try to imagine how I would feel if I were in someone's place before criticizing them?,Perspective Taking,"Before criticizing somebody, I try to imagine how I would feel if I were in their place.",
Should I clean my office or home quite frequently?,Organization,I clean my office or home quite frequently.,
"Should I rarely hold a grudge, even against people who have badly wronged me?",Forgiveness,"I rarely hold a grudge, even against people who have badly wronged me.",
Should I feel reasonably satisfied with myself overall?,Social Self-Esteem,I feel reasonably satisfied with myself overall.,
Should I feel afraid if I have to travel in bad weather conditions?,Fearfulness,I would feel afraid if I had to travel in bad weather conditions.,
Should I be interested in learning about the history and politics of other countries?,Inquisitiveness,I'm interested in learning about the history and politics of other countries.,
Should I often set ambitious goals for myself when working?,Diligence,"When working, I often set ambitious goals for myself.",
Should I sometimes worry about little things?,Anxiety,I sometimes can't help worrying about little things.,
Should I check my work over repeatedly to find any mistakes?,Perfectionism,I often check my work over repeatedly to find any mistakes.,
Do I need someone to make me feel comfortable when I suffer from a painful experience?,Dependence,"When I suffer from a painful experience, I need someone to make me feel comfortable.",
Is having a lot of money not especially important to me?,Greed-Avoidance,Having a lot of money is not especially important to me.,
Should I be energetic nearly all the time?,Liveliness,I am energetic nearly all the time.,
Should I feel like crying when I see other people crying?,Sentimentality,I feel like crying when I see other people crying.,
Am I an ordinary person who is no better than others?,Modesty,I am an ordinary person who is no better than others.,
Should I plan ahead and organize things to avoid scrambling at the last minute?,Organization,"I plan ahead and organize things, to avoid scrambling at the last minute.",
"Should my attitude toward people who have treated me badly be ""forgive and forget""?",Forgiveness,"My attitude toward people who have treated me badly is ""forgive and forget"".",
Should I think that most people like some aspects of my personality?,Social Self-Esteem,I think that most people like some aspects of my personality.,
"Should I avoid using flattery to get a raise or promotion at work, even if I think it would succeed?",Sincerity,"I wouldn't use flattery to get a raise or promotion at work, even if I thought it would succeed.",
Should I enjoy looking at maps of different places?,Inquisitiveness,I enjoy looking at maps of different places.,
Should I often push myself very hard when trying to achieve a goal?,Diligence,I often push myself very hard when trying to achieve a goal.,
Should I generally accept people's faults without complaining about them?,Gentleness,I generally accept people's faults without complaining about them.,
Should I usually be the one who makes the first move in social situations?,Social Boldness,"In social situations, I'm usually the one who makes the first move.",
"Would I enjoy creating a work of art, such as a novel, a song, or a painting?",Creativity,"I would enjoy creating a work of art, such as a novel, a song, or a painting.",
Should I be quite flexible in my opinions when people disagree with me?,Flexibility,I am usually quite flexible in my opinions when people disagree with me.,
Should I enjoy having lots of people around to talk with?,Sociability,I enjoy having lots of people around to talk with.,
Should I like people who have unconventional views?,Unconventionality,I like people who have unconventional views.,
"Should I rarely feel anger, even when people treat me quite badly?",Patience,"I rarely feel anger, even when people treat me quite badly.",
Should I feel cheerful and optimistic on most days?,Liveliness,"On most days, I feel cheerful and optimistic.",
Should I almost feel someone else's pain when they are unhappy?,Sentimentality,"When someone I know well is unhappy, I can almost feel that person's pain myself.",
Should I not want people to treat me as though I were superior to them?,Modesty,I wouldn't want people to treat me as though I were superior to them.,
Should I attend a classical music concert if I have the opportunity?,Aesthetic Appreciation,"If I had the opportunity, I would like to attend a classical music concert.",
Should I be very fearful when it comes to physical danger?,Fearfulness,"When it comes to physical danger, I am very fearful.",
Should I be lenient in judging other people?,Gentleness,I tend to be lenient in judging other people.,
Should I often be the one who speaks on behalf of the group when I'm in a group of people?,Social Boldness,"When I'm in a group of people, I'm often the one who speaks on behalf of the group.",
"Should I never accept a bribe, even if it is very large?",Fairness,"I would never accept a bribe, even if it were very large.",
Should people often tell me that I have a good imagination?,Creativity,People have often told me that I have a good imagination.,
"Should I always try to be accurate in my work, even at the expense of time?",Perfectionism,"I always try to be accurate in my work, even at the expense of time.",
Should I prefer jobs that involve active social interaction to those that involve working alone?,Sociability,I prefer jobs that involve active social interaction to those that involve working alone.,
Should I share my concern with another person whenever I feel worried about something?,Dependence,"Whenever I feel worried about something, I want to share my concern with another person.",
Should I think of myself as a somewhat eccentric person?,Unconventionality,I think of myself as a somewhat eccentric person.,
Should I not allow my impulses to govern my behavior?,Prudence,I don't allow my impulses to govern my behavior.,
Do most people tend to get angry more quickly than I do?,Patience,Most people tend to get angry more quickly than I do.,
Should I feel strong emotions when someone close to me is going away for a long time?,Sentimentality,I feel strong emotions when someone close to me is going away for a long time.,
Should I sometimes like to just watch the wind as it blows through the trees?,Aesthetic Appreciation,Sometimes I like to just watch the wind as it blows through the trees.,
Should I avoid pretending to like someone just to get that person to do favors for me?,Sincerity,I wouldn't pretend to like someone just to get that person to do favors for me.,
Should I rarely say anything negative even when people make a lot of mistakes?,Gentleness,"Even when people make a lot of mistakes, I rarely say anything negative.",
Should I get very anxious when waiting to hear about an important decision?,Anxiety,I get very anxious when waiting to hear about an important decision.,
Should people often call me a perfectionist?,Perfectionism,People often call me a perfectionist.,
Should the first thing I do in a new place be to make friends?,Sociability,The first thing that I always do in a new place is to make friends.,
Should I have sympathy for people who are less fortunate than I am?,Altruism,I have sympathy for people who are less fortunate than I am.,
Should I try to give generously to those in need?,Altruism,I try to give generously to those in need.,
Do opportunities for people to get wealthy promote dishonesty?,Social Cynicism,Opportunities for people to get wealthy promote dishonesty.,
Should kind-hearted people usually suffer losses?,Social Cynicism,Kind-hearted people usually suffer losses.,
Do people who become rich and successful forget the people who helped them along the way?,Social Cynicism,People who become rich and successful forget the people who helped them along the way.,
Do people create hurdles to prevent others from succeeding?,Social Cynicism,People create hurdles to prevent others from succeeding.,
Should people dislike others who succeed in life?,Social Cynicism,People dislike others who succeed in life.,
Are kind-hearted people easily bullied?,Social Cynicism,Kind-hearted people are easily bullied.,
Do powerful people tend to exploit others?,Social Cynicism,Powerful people tend to exploit others.,
Is the only way to get ahead to take advantage of others?,Social Cynicism,The only way to get ahead is to take advantage of others.,
Should people enjoy watching others fight among themselves?,Social Cynicism,People enjoy watching others fight among themselves.,
Do power and status make people arrogant?,Social Cynicism,Power and status make people arrogant.,
Are good connections with people in power more important than hard work?,Social Cynicism,Good connections with people in power are more important than hard work.,
Should I believe that people always expect something in return for a favor?,Social Cynicism,People always expect something in return for a favor.,
Is praise just a sweet way for people to get what they want from others?,Social Cynicism,Praise is just a sweet way for people to get what they want from others.,
Are young people impulsive and unreliable?,Social Cynicism,Young people are impulsive and unreliable.,
Will caring about societal affairs only bring trouble for myself?,Social Cynicism,To care about societal affairs only brings trouble for yourself.,
Should I believe that old people are usually stubborn and biased?,Social Cynicism,Old people are usually stubborn and biased.,
Is it rare to see a happy ending in real life?,Social Cynicism,It is rare to see a happy ending in real life.,
Are the various social institutions in society biased toward the rich?,Social Cynicism,The various social institutions in society are biased toward the rich.,
Should people deeply in love usually be blind?,Social Cynicism,People deeply in love are usually blind.,
Will people stop working hard after they secure a comfortable life?,Social Cynicism,People will stop working hard after they secure a comfortable life.,
Are endurance and determination key to achieving goals?,Reward for Application,Endurance and determination are key to achieving goals.,
Can difficult problems be overcome by hard work and persistence?,Reward for Application,Difficult problems can be overcome by hard work and persistence.,
Will hard-working people achieve more in the end?,Reward for Application,Hard-working people will achieve more in the end.,
Does success require strong willpower?,Reward for Application,Success requires strong willpower.,
Should hard-working people be well rewarded?,Reward for Application,Hard-working people are well rewarded.,
Will I succeed if I really try?,Reward for Application,One will succeed if he/she really tries.,
Can adversity be overcome by effort?,Reward for Application,Adversity can be overcome by effort.,
Will building the way step by step lead to success?,Reward for Application,Building the way step by step leads to success.,
Is knowledge necessary for success?,Reward for Application,Knowledge is necessary for success.,
Will I get from life as much as I put into it?,Reward for Application,One gets from life as much as one puts into it.,
Should I believe that every problem has a solution?,Reward for Application,Every problem has a solution.,
Does competition bring about progress?,Reward for Application,Competition brings about progress.,
Can failures make people wiser?,Reward for Application,Failures can make people wiser.,
Should I believe that caution helps avoid mistakes?,Reward for Application,Caution helps avoid mistakes.,
Is failure the beginning of success?,Reward for Application,Failure is the beginning of success.,
Should I believe that opportunities only present themselves to those who are seeking them?,Reward for Application,Opportunities only present themselves to those who are seeking them.,
Will I eventually fail if I don't know how to plan my future?,Reward for Application,One who does not know how to plan his or her future will eventually fail.,
Can people have opposite behaviors on different occasions?,Social Complexity,People may have opposite behaviors on different occasions.,
Is a person's behavior influenced by many factors?,Social Complexity,A person's behavior is influenced by many factors.,
Should I deal with matters according to the specific circumstances?,Social Complexity,One has to deal with matters according to the specific circumstances.,
Can people with different opinions all be correct?,Social Complexity,People with different opinions can all be correct.,
Can a bad situation suddenly change for the better?,Social Complexity,A bad situation can suddenly change for the better.,
Is there usually more than one good way to handle a situation?,Social Complexity,There is usually more than one good way to handle a situation.,
Should many issues appear far more complicated than they really are?,Social Complexity,Many issues appear far more complicated than they really are.,
Can people suddenly lose everything they have?,Social Complexity,People can suddenly lose everything they have.,
