argument_id,split,stance,question,value,positive_answer,negative_answer
D02077,training,in favor of,Should All countries take responsibility for accepting refugees?,Conformity: rules,"Refugees are forcibly displaced. They flee their country for several reasons such as violence, human rights violations, war, persecution of minorities, etc. Often they face threats to life in their home countries. They leave their homes and everything else in search of a safer place to live.",
A28320,training,against,Should we abolish the Olympic Games?,Tradition,we should not abolish the olympic games because it would rob all the hard working athletes of showcasing their skills and earning money from the games and their sponsors.,
A22005,validation,against,Should Entrapment be legalized?,Conformity: rules,entrapment should not be legalized because you are unfairly goading someone into committing a crime that they otherwise might not commit.,
A30039,training,against,Should we adopt gender-neutral language?,Power: dominance,"in many cases, the gender of the subject helps convey meaning",
A22142,training,in favor of,Should we adopt libertarianism?,Self-direction: thought,"The more rights we have as individuals, the happier we are.",
A24449,training,in favor of,Should we adopt atheism?,Universalism: objectivity,"people are so afraid of an imaginary punishment that they do not live their lives to the fullest - with atheism, it will be more convincing to live in the present.",
A24436,validation,in favor of,Should The vow of celibacy be abandoned?,Humility,the vow of celibacy is no longer relevant in today's society and should be abandoned,
A32051,test,against,Should we legalize polygamy?,Hedonism,it's an outdated practice that is detrimental to the equality between men and women.,
A24358,training,against,Should we abolish capital punishment?,Universalism: concern,capital punishment provides a firm sense of closure for victim's families and the lack thereof may harm them.,
A30380,validation,against,Should Assisted suicide be a criminal offence?,Benevolence: caring,people who are terminally ill and don't want to suffer any more have a right to ask for help to end their lives,
A22328,training,against,Should we ban the use of child actors?,Universalism: concern,as long as there is proper protection for child actors there is no reason that they should not be able to perform on screen,
A32037,test,against,Should we end racial profiling?,Universalism: objectivity,racial profiling is necessary when you know for a fact that a person of a certain race has committed a crime.,
A22025,training,in favor of,Should we subsidize journalism?,Power: dominance,subsidizing journalism allows more voices to be heard,
A28001,test,in favor of,Should we end affirmative action?,Benevolence: caring,affirmative action is just racism in a pretty dress.  we need to end this now.  we cannot allow racism to be okay in any format.,
A27133,training,in favor of,Should we ban telemarketing?,Conformity: interpersonal,telemarketing is annoying and leads to people falling for potential scams.,
A31473,test,in favor of,Should we subsidize stay-at-home dads?,Power: resources,"the father, usually being the higher earner, needs to be subsidised to ensure there is enough income to support the family when there is only the mother's income which may well be considerably lower.",
D02077,training,in favor of,Should All countries take responsibility for accepting refugees?,Universalism: tolerance,"Refugees are forcibly displaced. They flee their country for several reasons such as violence, human rights violations, war, persecution of minorities, etc. Often they face threats to life in their home countries. They leave their homes and everything else in search of a safer place to live.",
A12332,training,against,Should we limit executive compensation?,Power: dominance,an executive has worked hard to get to that position through study and prior work experience. they should be compensated for their value to the company.,
A32296,test,against,Should we end racial profiling?,Universalism: objectivity,we shouldn't end racial profiling because it could tie in with certain aspects of evidence that is effective,
A19428,training,in favor of,Should we abolish the three-strikes laws?,Benevolence: caring,"three -strikes laws take discretion away from judges.  a person committing a minor crime could be sentenced to life if he had a criminal history from long ago.  these laws backlog our courts, cram our prisons.",
A28369,validation,in favor of,Should Assisted suicide be a criminal offence?,Security: personal,"suicide is illegal and so is killing, so how is assisted suicide going to be legal?",
A18159,validation,in favor of,Should Homeschooling be banned?,Stimulation,homeschooling is way too lenient and relaxed for children to even learn anything. they don't learn as much as in a classroom and miss out on socialization.,
E02106,validation,against,Should we legalize cannabis in the whole EU?,Security: societal,"Europeans must embrace true values that enhance life and standards of living.  Anything related to drugs, in whatever form, degenerates humanity.  Soon enough we will be legalizing 'theft' in an effort to improve GDP and growth, as European colonialists have done in Africa and Asia where oppression and exploitation ruled. ",
A20064,training,against,Should we abolish the Olympic Games?,Stimulation,the olympic games inspire children and people of all ages to enjoy and participate in sports.,
A23371,training,against,Should we adopt atheism?,Tradition,people should have the freedom to believe in a way of their choice. atheism forces people to  believe in one way and this is not the principle of freedom  the usa was founded upon.,
A29302,test,in favor of,Should we abandon marriage?,Universalism: tolerance,marriage is an outdated institution which serves no practical purpose in the current age.,
A24285,training,in favor of,Should we ban telemarketing?,Conformity: interpersonal,telemarketers selling scams interrupt precious family time with incessant phone calls.,
A12242,training,against,Should we ban missionary work?,Conformity: interpersonal,Missionary work has helped to civilize entire socities.,
A18095,validation,against,Should The use of public defenders be mandatory?,Stimulation,"people may choose to defend themselves, if they believe it to be in their best interests",
A12267,validation,against,Should Assisted suicide be a criminal offence?,Security: personal,"when people are suffering, it is unfair to force them to continue to do so.  if someone can assist them in ending the suffering, they should be able to.",
A21106,validation,in favor of,Intelligence tests bring more harm than good?,Universalism: objectivity,intelligence tests bring more harm than good by focusing on strengths and weaknesses.,
A29112,validation,against,Homeopathy brings more harm than good?,Self-direction: thought,"people should have options when in comes to their health. most people use homeopathy in conjunction with western medicines, and that should be their own decision and choice.",
A19305,training,against,Should we prohibit school prayer?,Universalism: tolerance,"students have the right to express themselves, and that includes expressions of faith.",
E05062,training,against,Should Council meetings be open to the public and the press?,Achievement,It would render the meetings useless since they would only be able to express official statements and instead negotiate new ideas without pressure.,
E01061,training,in favor of,Should Intensive livestock farming disappear?,Power: resources,"In Germany, 60% of the land is used for animal feed. In determining how much subsidy a holding receives, the area of the holding is decisive. In other words, a lot of land, a large amount of subsidy. This results in cheap animal feed and, ultimately, intensive livestock farming. Thus, if the state subsidises animal feed and livestock farming on the basis of their size and not on the basis of sustainability and animal welfare, the concept of intensive livestock farming will be supported.",
A20308,training,in favor of,Should we abolish capital punishment?,Benevolence: caring,Capital punishment denies due process by making it impossible for new evidence or good behavior to change the sentence.,
A32201,test,against,Should we abandon marriage?,Benevolence: dependability,marriage is sacred and confirms a couples commitment to one another.,
E03031,validation,in favor of,Should we impose an IQ test to immigrants?,Humility,"The real problem, even with the war refugees is that once they enter the EU they do not want to return to their countries, even if the danger has passed. They even bring their family and other relatives!",
E04018,test,against,Should we create a migration system that reflects European values?,Universalism: objectivity,"Living in Europe is not a human right. Illegal migrants are willing to break a law and risk their lives (and the lives of their families), while unable to undergo the proper legal and established process and paperwork.",
E04105,training,against,Should There be no immigration from non-European or non-first-world countries?,Humility,"In Conclusion, we should say: 'Europeans go home. Go home, leave every part of the world where we are making business, exploiting cheap labor, rare minerals, selling arms, invading foreign countries and exporting democracy, etc. '",
A31344,test,in favor of,Should we subsidize stay-at-home dads?,Power: resources,"When dads stay at home, they are being supported by a working mom who gets paid less than men, so the father should be subsidized to make up the difference.",
A25271,training,in favor of,Should we adopt an austerity regime?,Power: dominance,an austerity regime would stabilize our government,
A29490,training,against,Should we oppose collectivism?,Humility,we accept collectivism because it leads to less conflict due to people thinking as a team instead of one person thinking about themselves and causing trouble,
A27003,training,against,Should we abolish the three-strikes laws?,Benevolence: caring,three-strikes laws can act as a deterrent for serial criminal behavior.,
A18309,validation,against,Social media brings more harm than good?,Benevolence: dependability,"social media gives it users a place to seek support when in need whether emotional or financially, things that would be more difficult if not impossible to do outside of their home.",
A21071,training,in favor of,Should we ban the Church of Scientology?,Face,the church of scientology encourages people to cut themselves off from friends and family outside the church. this isolation is potentially damaging for children as it limits the opinions they have.,
A20194,training,in favor of,Should we ban missionary work?,Security: societal,"missionary work is dangerous, often occurring in war torn areas. missionaries are often young adults without world experience who are unaware of how to defend themselves in unknown lands.",
E03030,training,against,Should There be an EU citizenship?,Universalism: tolerance,If we do have an EU citizenship we will have an EU country and EU already proved to be no good dealing with problems and is extremely undemocratic and not listening to the people.,
A07080,training,against,Should we abolish the three-strikes laws?,Conformity: interpersonal,if someone hasn't learned by the first two chances then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them keep committing crimes against the population.,
A24459,training,against,Should we ban targeted killing?,Universalism: concern,we shouldn't ban targeted killing because it can help find terrorists and stop attacks from happening.,
A23165,validation,in favor of,Should The vow of celibacy be abandoned?,Humility,it should be abandoned because they have the same desires as every human has,
A21255,training,in favor of,Should we limit executive compensation?,Humility,we should limit executive compensation because most make an unbalanced amount of salary in comparison to their real worth.,
A28458,training,in favor of,Should we adopt gender-neutral language?,Conformity: interpersonal,inclusive language is the first step to creating a society where the lgbt community is not abused,
A18182,training,in favor of,Should we end the use of economic sanctions?,Power: resources,ending economic sanctions would make it so all countries could trade freely with anyone.,
A18031,validation,in favor of,Should Homeschooling be banned?,Stimulation,homeschooling does not give a child time away from home,
A19073,validation,against,Should we subsidize vocational education?,Tradition,"We should subsidize not vocational education because it will discourage students from going into traditional higher education, and therefore limit their career options.",
A05097,training,in favor of,Should we adopt a zero-tolerance policy in schools?,Benevolence: dependability,children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.,
A25217,training,against,Should we abolish intellectual property rights?,Self-direction: thought,if abolished it will stiffle creativity and advancement because there will be no incentive if intellectual property is not a right.,
A05028,training,in favor of,Should we ban the use of child actors?,Benevolence: dependability,the world of show has proven to be full of vices that in the case of children is very harmful,
A07074,training,in favor of,Should we subsidize journalism?,Self-direction: action,Non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.,
A20029,training,against,Should we ban the use of child actors?,Achievement,providing child actors are still taught school subjects and that they are given time to be children then it is good for them and the money earned will give them freedom as adults to do whatever they want,
D27027,training,against,Should Driverless cars be allowed in India?,Benevolence: dependability,"Even though driverless cars reduce vehicular accidents caused by human error, there are cases of driverless cars causing accidents.",
A19188,training,in favor of,Should we adopt an austerity regime?,Power: resources,an austerity regime would help to get our country back on a solid financial footing.,
A12430,training,against,Should we adopt atheism?,Tradition,Adopting atheism takes away the freedom of worship that people are promised in this country.,
E07159,training,against,"Should Foreign Policy at the EU level be based on an absolute majority, not unanimity?",Security: societal,Changing the EU foreign policy voting procedure will cause serious problems.,
E07250,test,against,Should we create a migration system that reflects European values?,Tradition,"Living in Europe is not a human right. Illegal migrants are willing to break a law and risk their lives (and the lives of their families), while unable to undergo the proper legal and established process and paperwork.",
A12040,validation,against,Should Homeschooling be banned?,Universalism: tolerance,"results from homeschooling children are equally as good as those achieved from state schools, and sometimes this can be the only option for a youngster with complex emotional needs.",
E07191,training,in favor of,Should The EU be a permanent member of the UN Security Council?,Benevolence: caring,It should be the common goal of EU diplomacy to change the workings of the UN as it is. The security council is a relict of the emerging post-WW2 order and the influence of the Cold War.,
A27054,training,in favor of,Should we ban factory farming?,Universalism: nature,factory farming abuses animals and so should be banned.,
A29195,training,in favor of,Should we ban human cloning?,Benevolence: dependability,"we should ban human cloning, the ethical issues this practice would raise are impossible to manage",
A20301,training,against,Should we cancel pride parades?,Benevolence: caring,pride parades are essential for gay youth trying to navigate their sexuality. they give support where they may have none and send the message that being yourself is acceptable.,
A27498,test,in favor of,Should we prohibit women in combat?,Humility,women can not physically perform like a man can and should not be in situations where they need to rescue someone physically they are unable to do.,
A19395,validation,in favor of,Should Surrogacy be banned?,Security: societal,this is too dangerous for the  parents to be. often the surrogate mother changes her mind.,
A20271,training,against,Should we limit judicial activism?,Universalism: tolerance,sometimes a case has extenuating circumstances that would require a judge to make a different ruling.,
E02060,training,in favor of,"We need a common migration and asylum policy, based on respect for rights and equal treatment?",Security: personal,In the EU labor market we will need more workers from outside Europe to continue the level of economic activities we are planning. ,
A25231,validation,against,Should Blockade of the Gaza Strip be ended?,Universalism: concern,it shouldn't be ended because it keeps goods from entering that are not wanted,
A29051,training,in favor of,Should we abandon the use of school uniform?,Face,school uniforms stunt young peoples' creativity.,
A25412,training,in favor of,Should we end the use of economic sanctions?,Benevolence: dependability,"economic sanctions rarely hurt those who they are aimed at ,the leaders of nations & instead hurt the people in those countries who can least afford it",
A19336,training,in favor of,Should we ban telemarketing?,Conformity: interpersonal,"telemarketing is a pock mark on society. it disrupts peoples lives, causes extreme aggravation and pushes unwanted products and services on the poor, elderly and those prone to being taken advantage of.",
A23376,training,in favor of,Should we ban cosmetic surgery for minors?,Achievement,"cosmetic surgery is something that is life long.  which is why minors, who's brains are not fully matured yet, don't have the ability to truly make such a decision for themselves.",
A18272,validation,in favor of,Should The vow of celibacy be abandoned?,Power: dominance,celibacy is responsible for the child abuse cover up by the catholic church,
A19448,training,in favor of,Should we adopt gender-neutral language?,Benevolence: caring,"gender-neutral language takes gender out of the equation, so that people can focus on content, not gender.",
A12245,training,against,Should we adopt atheism?,Conformity: interpersonal,many people use religion to connect with their family as well as loved ones that are no longer alive - losing this comforting connection would be devastating for some.,
A32447,test,against,Should we prohibit women in combat?,Self-direction: action,we should not prohibit women in combat because they have every much right to fight for their country as men.,
A29495,training,in favor of,Should we oppose collectivism?,Achievement,collectivism stops creativity and individual thought,
A29255,training,in favor of,Should we adopt gender-neutral language?,Conformity: interpersonal,gender neutral language is a way to be more sensitive and politically correct in a modern society with a plurality of genders,
A28117,validation,against,Should Homeschooling be banned?,Conformity: interpersonal,homeschooling  can create  a more independent program.,
A31042,test,in favor of,Should we abandon marriage?,Stimulation,marriage is not relevant in our current time and should just be done away with.  too often they end in divorce and cost too much money.,
A21341,training,in favor of,Should we abolish safe spaces?,Humility,safe spaces foster isolation and retreat from the rest of society and they do nothing to address underlying safety issues.,
A28086,training,in favor of,Should we ban cosmetic surgery?,Humility,cosmetic surgery can cause medical problems in the long run,
A23445,training,against,Should we ban the Church of Scientology?,Universalism: tolerance,"we should not ban scientology, the sensationalist stories have never been proven so we would be passing judgement before any wrongdoing is confirmed",
A29125,validation,against,Social media brings more harm than good?,Face,social media has been a tremendous asset for movements like the arab spring and the women's march.,
A32458,test,against,Should we legalize polygamy?,Conformity: rules,"polygamy has seen issues of domestic abuse, psychological abuse as well as sexual abuse in the name of polygamy and religion, therefore it should not be legalized.",
A19310,training,in favor of,Should we end the use of economic sanctions?,Universalism: concern,"sanctions ultimately only hit the general population of the country affected, especially the vulnerable.  this serves to stir up bad feeling towards the countries implementing the sanction.",
E05035,training,in favor of,The European Union needs to equip itself with the institutional and legal tools to resolve democratic conflicts on sovereignty within its own borders?,Tradition,Catalonia must become independent from the Spanish dictatorial repression that tries to end the Catalan language and culture.,
A32309,test,against,Should we close Guantanamo Bay detention camp?,Security: societal,the camp should remain open and it keep society safe,
A29339,training,in favor of,Should we ban cosmetic surgery?,Security: personal,"cosmetic surgery can involve complex, dangerous medical procedures which shouldn't be carried out for non-medical reasons.",
A27247,training,in favor of,Should we fight for the abolition of nuclear weapons?,Security: societal,by ridding the world of nuclear weapons we do not have to worry about nuclear accidents or mistakes.,
A19224,validation,in favor of,Should we subsidize vocational education?,Humility,the trades need more workers and we should encourage kids who aren't college material to pick up a trade.,
A02014,training,against,Should we abolish the right to keep and bear arms?,Conformity: rules,we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.,
A29235,training,in favor of,Should we subsidize student loans?,Power: dominance,"college is not affordable anymore.  an education can cost more than a home.  paying money to some student loan bills allow graduates to prosper, buying homes and cars and supporting the economy.",
D03004,test,in favor of,E-voting brings more harm than good?,Benevolence: dependability,"Earlier, there was a threat of coercion and booth capturing. Some people used to threaten voters to vote for a particular candidate. Using CCTV cameras prevented this to a large extent. But now, e-voting has the same vulnerability. It is difficult to provide security to everyone in their homes.",
A19053,validation,against,Homeopathy brings more harm than good?,Self-direction: action,Homeopathic medicine can be effective for treating certain ailments without using intense modern medicine.,
A20459,training,in favor of,Should we abolish the Olympic Games?,Tradition,"the olympic games should be abolished as they have become a massive corporate sponsorship opportunity that is subject to bribery, cheating and politics",
A27051,training,against,Should we fight for the abolition of nuclear weapons?,Power: dominance,"although we hope never to use them, we need to keep our nuclear weapons as a deterrent against others using them therefore we should not abolish them.",
A27060,training,in favor of,Should we ban cosmetic surgery for minors?,Conformity: rules,minors have not yet fully developed and changes to their bodies that they make now may not be what they would have chosen when they are fully developed.,
A19461,training,against,Should we limit judicial activism?,Universalism: objectivity,"judges are in a position to make a positive change in the world, and should be encouraged to use activism to do so",
A09067,training,in favor of,Should we abolish capital punishment?,Security: societal,capital punishment should be removed from society as it is a backwards and medieval solution to crime that has no place in a modern society.,
A28184,training,against,Should we abolish intellectual property rights?,Universalism: concern,"intellectual property rights can prevent competitors from making, selling, or using your invention for a limited time",
A25123,training,in favor of,Should we introduce compulsory voting?,Self-direction: action,compulsory voting would insure that every eligible voting citizen is able to aid in who they want for political offices.,
A21315,validation,in favor of,Homeopathy brings more harm than good?,Universalism: objectivity,introducing items that normally produce symptoms of a disease is something that really could do more harm than good in the long run.,
A12182,training,in favor of,Should we ban the use of child actors?,Hedonism,making a child work as an actor deprives them of childhood experiences and interactions.,
A32374,test,against,Should we ban naturopathy?,Universalism: nature,"Naturopathy uses treatments that are gentle, non-invasive, safe, and effective.",
A31273,test,against,Should we legalize polygamy?,Conformity: rules,"polygamy call to mind too many questions under the law, especially when it comes to dissolution of the marriages and should just remain illegal.",
A12293,training,in favor of,Should we introduce compulsory voting?,Power: dominance,compulsory voting would make the election practice fairer.,
A20469,training,in favor of,Should we ban the use of child actors?,Stimulation,child actors are robbed of their childhood and can face much emotional turmoil as an adult from missing this important step in childhood.,
A05093,training,in favor of,Should we ban the use of child actors?,Stimulation,child actors lose the sense of a proper childhood.,
A29415,validation,against,Intelligence tests bring more harm than good?,Achievement,intelligence tests bring more good than harm because they let an individual know exactly what their potential is and can take learning paths accordingly.,
E07069,training,in favor of,Should Humanitarian organizations be financially responsible in relation to illegal immigration?,Conformity: rules,"A humanitarian association that helps a migrant to enter the EU illegally should also be dragged in front of the court for not taking the illegals to the closest safe port. In 90% of the cases, the closest port lies in Africa. ",
A25156,training,against,Should we ban private military companies?,Benevolence: caring,private military companies protect assests and officials in war torn areas. they're needed. they don't take money from the tax payers to accomplish their missions and act only defensively.,
A09047,validation,against,Should Assisted suicide be a criminal offence?,Benevolence: dependability,Assisted suicide should be an individual's choice and personal freedom,
A19416,training,against,Should we ban fast food?,Security: personal,fast food enables people who lead busy lives to be able to have meals on the go.  this way they do not miss meals.,
A24013,training,against,Should we subsidize space exploration?,Security: societal,we should not subsidize something like space exploration because it would put lives at risk.,
A21453,training,against,Should we ban algorithmic trading?,Achievement,algorithmic trading is a technological improvement on antiquated methods of trading and should be encouraged and improved.,
A18345,training,in favor of,Should we stop the development of autonomous cars?,Achievement,autonomous cars have already caused multiple fatalities and are being used on public roads right now without being adequately tested. the makers are literally using human lives to beta test their products.,
A27345,training,in favor of,Should we introduce compulsory voting?,Power: dominance,compulsory voting would make sure that each and every person's voice is heard and provide a more accurate system of making sure the person elected is the one the people really want.,
A32258,test,in favor of,Should we ban naturopathy?,Security: personal,Naturopathy increases hospital waiting times by adding individuals who need to be treated for both the original condition and the side effects of the naturopathy.,
A31009,test,in favor of,Should we fight urbanization?,Hedonism,"urbanization creates an area of poor quality of life, overcrowded, polluted streets, and a hub for crime",
A19383,training,against,Should we subsidize Wikipedia?,Tradition,wikipedia allows people to say whatever they want on a topic and does not have to be true or provable.,
A24307,training,against,Should we cancel pride parades?,Universalism: tolerance,"they shouldnt be banned, it's just people coming together and expressing themselves which they have the right to do.",
A22210,training,against,Should we abolish the three-strikes laws?,Power: dominance,the three strikes law teaches criminals you will no longer be able to keep committing crimes and getting away with it.,
A30166,training,against,Should we ban the Church of Scientology?,Self-direction: thought,everyone has the right to follow whatever religion they want regardless of how strange it may seem to outsiders.,
A28008,training,in favor of,Should we abolish the three-strikes laws?,Benevolence: caring,three-strikes laws are a major reason for overcrowding in our prison system.,
A31152,test,in favor of,Should we abandon marriage?,Stimulation,marriage is an outdated concept that isn't representative of modern life now that people can travel further and meet more people they may be better compatible with further down the line.,
A30284,training,against,Should we subsidize space exploration?,Stimulation,the money spent on subsidizing space exploration could be better spent on other things that help all of society,
A29362,training,in favor of,Should we adopt an austerity regime?,Security: personal,The governments has a duty to make sure the economy doesn't collapse in times of recession,
A29129,test,in favor of,Should we prohibit flag burning?,Tradition,flag burning is deeply offensive to the country of the flag and can provoke violent retaliation.,
A24110,training,in favor of,Should we ban whaling?,Universalism: nature,whaling is contributing to the extinction of a lifeform and is unethical,
A29386,validation,in favor of,Social media brings more harm than good?,Benevolence: caring,social media has brought down levels of happiness and self-satisfaction by making us constantly compare ourselves to an idealized version of our friends.,
A20107,training,against,Should we adopt atheism?,Tradition,adopting atheism would violate freedom of religion,
A24028,training,in favor of,Should we legalize sex selection?,Universalism: objectivity,"this is needed in areas where the population is unequal. when only one sex is the majority, that population would eventually cease. there wouldn't be enough mates.",
A19146,validation,in favor of,Homeopathy brings more harm than good?,Benevolence: caring,its not safe at all and there are a lot of risks associated with it. besides it lacks government approval.,
A20161,validation,in favor of,Foster care brings more harm than good?,Benevolence: caring,moving from foster carer to carer provides an unstable life which damages esteem,
A09015,training,against,Should we adopt libertarianism?,Conformity: interpersonal,libertarianism doesn't account for obvious public needs that are better served through collective action rather than each individual competing for resources.,
A26058,training,against,Should we ban cosmetic surgery?,Face,"for some people who suffer from poor self esteem, cosmetic surgery can offer hope.",
A22153,training,in favor of,Should we abolish the three-strikes laws?,Universalism: concern,we should abolish the three strikes law. it doesn't deter crime and it is expensive to implement because it means more people will be prison for life. taxpayers don't deserve to pay for that.,
A19114,training,in favor of,Should we legalize cannabis?,Hedonism,cannabis is not a harmful drug and can help people cope with mental issues like anxiety,
A22468,validation,against,Should Holocaust denial be a criminal offence?,Self-direction: thought,"while i believe that holocaust denial is about fostering antisemitism today. i still think that type of speech as long as it's not a direct call to action should be protected, even if it is detestable.",
D02016,training,in favor of,Should we forbid neo-banks?,Security: personal,"Commercial banks help to create credit, which leads to increased production, employment, and consumer spending, all of which help to grow the economy.",
A20143,validation,in favor of,Intelligence tests bring more harm than good?,Universalism: concern,some people are very intelligent but have a difficult time when it comes to taking tests.  therefore they could be labeled as less intelligent as they really are.,
A25194,validation,against,Should Homeschooling be banned?,Achievement,homeschooling may be beneficial in certain situations. such as for children who are being bullied.,
A30383,training,against,Should we ban whaling?,Tradition,whaling is profitable for the people that do it and would result in a loss of income and tradition.,
A31448,test,against,Should we ban naturopathy?,Achievement,Naturopathy can provide a lot of benefits to people to ease symptoms and make them feel more comfortable.,
A30059,training,against,Should we ban the Church of Scientology?,Self-direction: action,"people have a right to believe in anything they want to. even though some people are very sceptical of this so called church, society still has a right to practice whatever religion they choose.",
A32309,test,against,Should we close Guantanamo Bay detention camp?,Benevolence: dependability,the camp should remain open and it keep society safe,
E07228,training,in favor of,"Should Foreign Policy at the EU level be based on absolute majority, not unanimity?",Power: dominance,The unanimous vote is the cause of European stagnation. Foreign and security policy requires speed. Unanimity should be replaced with a qualified majority.,
A22391,training,in favor of,Should we subsidize Wikipedia?,Self-direction: thought,it needs money and is used by many people.,
A21357,training,in favor of,Should we adopt a multi-party system?,Power: dominance,could open up congress and create new opportunities for bargaining and coalition building on unusual lines.,
A21270,validation,in favor of,Should we subsidize vocational education?,Humility,vocational education should be subsidized because all students don't necessarily need a college education and rack up lots of debt in four year colleges.,
E01139,test,in favor of,Should we implement a common broadcasting license across the EU?,Power: dominance,The broadcasting license on the European level can project European soft power beyond its borders. ,
A23472,training,in favor of,Should we abolish zoos?,Benevolence: dependability,zoos are cruel to the animals taking them out of their natural environment,
E02063,training,in favor of,"We need a common migration and asylum policy, based on respect for rights and equal treatment?",Tradition,"The human rights-based approach should be the core principle. Legal channels for entry and fostering an integration policy based on respect for rights and equal treatment of both local and migrant workers, as key tools to address the social impact of migration flows are necessary.",
A21164,training,against,Should we ban private military companies?,Universalism: concern,private military companies are often run by former military men and women and provide a service that allows the military to concentrate on military operations.,
A23473,training,in favor of,Should we ban human cloning?,Humility,human cloning should be banned as it is equivalent to playing god.,
A19459,training,against,Should we legalize sex selection?,Tradition,it will result in more elective abortions and cause a gender imbalance,
A19005,training,against,Should we legalize sex selection?,Humility,"we shouldn't legalize sex selection because some people can't have children at all, they should be happy that they have blessed with a miracle. if you want to choose a sex then foster or adopt a certain sex",
A19396,training,against,Should we adopt libertarianism?,Benevolence: caring,we shouldn't because some people need intervention to make decisions.,
A12207,training,against,Should we ban targeted killing?,Security: societal,We should not ban targeted killing as it is the only way to deal with particular criminals who are otherwise not able to be captured or killed.,
A22238,training,in favor of,Should we adopt an austerity regime?,Security: personal,an austerity regime will help the european economy get out of a recession.,
A23218,training,in favor of,Should we ban the use of child actors?,Hedonism,"we should ban the use of child actors because it strips them of childhood, let them be children and play and mess around",
A19328,training,against,Should we ban cosmetic surgery?,Stimulation,if people want to get work done it is their choice,
A27410,validation,in favor of,Should The vow of celibacy be abandoned?,Universalism: objectivity,"if the vow of celibacy is not abandoned, the number of men joining the priesthood will continue to decline.",
A31310,test,in favor of,Should we close Guantanamo Bay detention camp?,Conformity: rules,guantanamo bay has given the us governement unprecidented abuse of power in detaining and torturing captive prisoners. it is inhumane and not a signal of an enlightened society.,
