question,value,positive_answer,negative_answer
Should I prefer interacting with people whose opinions are very different from my own?,Closed-Mindedness,,I prefer interacting with people whose opinions are very different from my own.
Should I feel confused when I see many possible options while trying to solve a problem?,Decisiveness,,When trying to solve a problem I often see so many possible options that it's confusing.
Should I always see many possible solutions to problems I face?,Closed-Mindedness,,I always see many possible solutions to problems I face.
Should I dislike the routine aspects of my work (studies)?,Preference for Order and Structure,,I dislike the routine aspects of my work (studies).
Is it important to have security of employment?,Individualism,,It is important to have security of employment.
Should I have pleasant people to work with?,Masculinity,,It is important to have pleasant people to work with.
Should I be consulted by my boss in decisions involving my work?,Power Distance,,It is important to be consulted by your boss in decisions involving your work.
Should I live in a desirable area?,Masculinity,,It is important to live in a desirable area.
Should I have a job respected by my family and friends?,Individualism,,It is important to have a job respected by your family and friends.
Should I have moderation by having few desires?,Indulgence,,It is important to have moderation: having few desires.
Should I do a service to a friend?,Long Term Orientation,,It is important to do a service to a friend.
Do other people or circumstances always prevent me from doing what I really want to?,Indulgence,,Other people or circumstances always prevent me from doing what I really want to.
Should I always be in very good health?,Uncertainty Avoidance,,I am always in very good health.
Should I be very proud to be a citizen of my country?,Long Term Orientation,,I am very proud to be a citizen of my country.
Should subordinates be afraid to contradict their boss (or students their teacher)?,Power Distance,,I think that subordinates are afraid to contradict their boss (or students their teacher).
Can I be a good manager without having a precise answer to every question that a subordinate may raise about their work?,Uncertainty Avoidance,,One can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work.
Should I avoid choosing a middle ground in an argument?,Contradiction:Naive Dialecticism,,Choosing a middle ground in an argument should be avoided.
Do all phenomena in the world move in predictable directions?,Perception of Change:Cyclic,,Every phenomenon in the world moves in predictable directions.
Will a person who is currently living a successful life continue to stay successful?,Perception of Change:Cyclic,,A person who is currently living a successful life will continue to stay successful.
Will an individual who is currently honest stay honest in the future?,Perception of Change:Cyclic,,An individual who is currently honest will stay honest in the future.
Will an event continue to move toward a certain direction if it is already moving that way?,Perception of Change:Cyclic,,"If an event is moving toward a certain direction, it will continue to move toward that direction."
Are future events predictable based on present situations?,Perception of Change:Cyclic,,Future events are predictable based on present situations.
"Should I sometimes find it difficult to see things from the ""other guy's"" point of view?",Perspective Taking,,"I sometimes find it difficult to see things from the ""other guy's"" point of view."
Should I sometimes not feel very sorry for other people when they are having problems?,Empathic Concern,,Sometimes I don't feel very sorry for other people when they are having problems.
Should I usually be objective when I watch a movie or play and not get completely caught up in it?,Fantasy,,"I am usually objective when I watch a movie or play, and I don't often get completely caught up in it."
Is it somewhat rare for me to become extremely involved in a good book or movie?,Fantasy,,Becoming extremely involved in a good book or movie is somewhat rare for me.
Should I remain calm when I see someone get hurt?,Personal Distress,,"When I see someone get hurt, I tend to remain calm."
Should other people's misfortunes not disturb me a great deal?,Empathic Concern,,Other people's misfortunes do not usually disturb me a great deal.
Should I sometimes not feel very much pity for someone being treated unfairly?,Empathic Concern,,"When I see someone being treated unfairly, I sometimes don't feel very much pity for them."
Should I be pretty effective in dealing with emergencies?,Personal Distress,,I am usually pretty effective in dealing with emergencies.
Would I be quite bored by a visit to an art gallery?,Aesthetic Appreciation,,I would be quite bored by a visit to an art gallery.
Should I act very nicely toward a person I dislike if I want something from them?,Sincerity,,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it."
Should people sometimes tell me that I am too critical of others?,Gentleness,,People sometimes tell me that I am too critical of others.
Should I rarely express my opinions in group meetings?,Social Boldness,,I rarely express my opinions in group meetings.
Would I be willing to steal a million dollars if I knew I could never get caught?,Fairness,,"If I knew that I could never get caught, I would be willing to steal a million dollars."
Should I want a job that requires following a routine rather than being creative?,Creativity,,I would like a job that requires following a routine rather than being creative. 
Should people sometimes tell me that I'm too stubborn?,Flexibility,,People sometimes tell me that I'm too stubborn.
"Should I avoid making ""small talk"" with people?",Sociability,,"I avoid making ""small talk"" with people."
Should I think that paying attention to radical ideas is a waste of time?,Unconventionality,,I think that paying attention to radical ideas is a waste of time.
Should I make decisions based on the feeling of the moment rather than on careful thought?,Prudence,,I make decisions based on the feeling of the moment rather than on careful thought.
Do people think of me as someone who has a quick temper?,Patience,,People think of me as someone who has a quick temper.
Should I avoid spending my time reading a book of poetry?,Aesthetic Appreciation,,I wouldn't spend my time reading a book of poetry.
Should I not mind doing jobs that involve dangerous work?,Fearfulness,,I don't mind doing jobs that involve dangerous work.
Should I worry a lot less than most people do?,Anxiety,,I worry a lot less than most people do.
Should I be tempted to buy stolen property if I were financially tight?,Fairness,,I would be tempted to buy stolen property if I were financially tight.
Should I not pay much attention to small details when working on something?,Perfectionism,,"When working on something, I don't pay much attention to small details."
Can I handle difficult situations without needing emotional support from anyone else?,Dependence,,I can handle difficult situations without needing emotional support from anyone else.
"Should I want to live in a very expensive, high-class neighborhood?",Greed-Avoidance,,"I would like to live in a very expensive, high-class neighborhood."
Should I make a lot of mistakes because I don't think before I act?,Prudence,,I make a lot of mistakes because I don't think before I act.
Should people often joke with me about the messiness of my room or desk?,Organization,,People often joke with me about the messiness of my room or desk.
Should I always feel suspicious of someone who has cheated me once?,Forgiveness,,"If someone has cheated me once, I will always feel suspicious of that person."
Should I feel that I am an unpopular person?,Social Self-Esteem,,I feel that I am an unpopular person.
Should I laugh at someone's worst jokes if I want something from them?,Sincerity,,"If I want something from someone, I will laugh at that person's worst jokes."
Would I be very bored by a book about the history of science and technology?,Inquisitiveness,,I would be very bored by a book about the history of science and technology.  
Should I end up quitting without having reached a goal when I set one?,Diligence,,"Often when I set a goal, I end up quitting without having reached it."
"Should I rarely, if ever, have trouble sleeping due to stress or anxiety?",Anxiety,,"I rarely, if ever, have trouble sleeping due to stress or anxiety."
Should my first reaction be to argue with people when they tell me that I'm wrong?,Flexibility,,"When people tell me that I'm wrong, my first reaction is to argue with them."
Should I want to be seen driving around in a very expensive car?,Greed-Avoidance,,I would like to be seen driving around in a very expensive car.
Should I try to cheer up when people tell me to?,Liveliness,,People often tell me that I should try to cheer up.
Should I think that I am entitled to more respect than the average person is?,Modesty,,I think that I am entitled to more respect than the average person is.
Should I sometimes have difficulties at work due to being disorganized?,Organization,,"When working, I sometimes have difficulties due to being disorganized."
Should I find it hard to fully forgive someone who has done something mean to me?,Forgiveness,,I find it hard to fully forgive someone who has done something mean to me.
Should I sometimes feel that I am a worthless person?,Social Self-Esteem,,I sometimes feel that I am a worthless person.
Should I not feel like panicking even in an emergency?,Fearfulness,,Even in an emergency I wouldn't feel like panicking.
Should I not enjoy looking through an encyclopedia?,Inquisitiveness,,I've never really enjoyed looking through an encyclopedia.
Should I do only the minimum amount of work needed to get by?,Diligence,,I do only the minimum amount of work needed to get by. 
Should I feel quite self-conscious when speaking in front of a group of people?,Social Boldness,,I tend to feel quite self-conscious when speaking in front of a group of people.
Should I be tempted to use counterfeit money if I were sure I could get away with it?,Fairness,,"I'd be tempted to use counterfeit money, if I were sure I could get away with it."
Should I not think of myself as the artistic or creative type?,Creativity,,I don't think of myself as the artistic or creative type.
Should I find it hard to compromise with people when I really think I'm right?,Flexibility,,I find it hard to compromise with people when I really think I'm right.
Should I rarely discuss my problems with other people?,Dependence,,I rarely discuss my problems with other people.
Would I get a lot of pleasure from owning expensive luxury goods?,Greed-Avoidance,,I would get a lot of pleasure from owning expensive luxury goods.
Should I find it boring to discuss philosophy?,Unconventionality,,I find it boring to discuss philosophy.
"Should I prefer to do whatever comes to mind, rather than stick to a plan?",Prudence,,"I prefer to do whatever comes to mind, rather than stick to a plan."
Should I find it hard to keep my temper when people insult me?,Patience,,I find it hard to keep my temper when people insult me.
Are most people more upbeat and dynamic than I generally am?,Liveliness,,Most people are more upbeat and dynamic than I generally am.
Should I remain unemotional even in situations where most people get very sentimental?,Sentimentality,,I remain unemotional even in situations where most people get very sentimental.
Should I want people to know that I am an important person of high status?,Modesty,,I want people to know that I am an important person of high status.
Should it bother me to harm someone I don't like?,Altruism,,It wouldn't bother me to harm someone I didn't like.
Should people see me as a hard-hearted person?,Altruism,,People see me as a hard-hearted person.
Is there usually only one way to solve a problem?,Social Complexity,,There is usually only one way to solve a problem.
"Should I believe that a person is either good or evil, and circumstances have nothing to do with it?",Social Complexity,,"A person is either good or evil, and circumstances have nothing to do with it."
Does flexibility have nothing to do with success?,Social Complexity,,Flexibility has nothing to do with success.
Should people act more or less the same way regardless of the people they interact with?,Social Complexity,,People act more or less the same way regardless of the people they interact with.
Does a person change little over the course of his or her life?,Social Complexity,,A person changes little over the course of his or her life.
Do major events in life have nothing to do with fate?,Fate Determinism,,Major events in life have nothing to do with fate.
Should I believe that fate has nothing to do with the tragedies of life?,Fate Determinism,,Fate has nothing to do with the tragedies of life.
Is it impossible to read one's destiny?,Fate Alterability,,It is impossible to read one's destiny.
Does religion slow down human progress?,Religiosity,,Religion slows down human progress.
Does religious practice make it harder for people to think independently?,Religiosity,,Religious practice makes it harder for people to think independently.
Do only weak people need religion?,Religiosity,,Only weak people need religion.
Should I believe that religion makes people escape from reality?,Religiosity,,Religion makes people escape from reality.
Do religious beliefs lead to unscientific thinking?,Religiosity,,Religious beliefs lead to unscientific thinking.
Does ignorance lead people to believe in a supreme being?,Religiosity,,Ignorance leads people to believe in a supreme being.
Does religion contradict science?,Religiosity,,Religion contradicts science.
Should people think of me as an unemotional person?,Emotional expressiveness,,People think of me as an unemotional person.
Should I keep my feelings to myself?,Emotional expressiveness,,I keep my feelings to myself.
Should I be considered indifferent by others?,Emotional expressiveness,,I am often considered indifferent by others.
Should I avoid letting other people see how I'm feeling?,Emotional expressiveness,,I don't like to let other people see how I'm feeling.
Should I avoid letting others see my feelings even if I am feeling very emotional?,Emotional expressiveness,,"Even if I am feeling very emotional, I don't let others see my feelings."
Should other people be unable to easily observe what I'm feeling?,Emotional expressiveness,,Other people aren't easily able to observe what I'm feeling.
Should I not be very emotionally expressive?,Emotional expressiveness,,I am not very emotionally expressive.
Should I avoid expressing my strong feelings outwardly?,Emotional expressiveness,,"Even when I'm experiencing strong feelings, I don't express them outwardly."
Should I not express my emotions to other people?,Emotional expressiveness,,I don't express my emotions to other people.
Should the way I feel be different from how others think I feel?,Emotional expressiveness,,The way I feel is different from how others think I feel.
Should I hold my feelings in?,Emotional expressiveness,,I hold my feelings in.
Should I feel that everything is fine and nothing unfortunate will happen?,Anxiety Disorder,,I feel that everything is fine and nothing unfortunate will happen.
Should I feel calm and be able to sit quietly with ease?,Anxiety Disorder,,I feel calm and can sit quietly with ease.
Should I find it easy to breathe in and out?,Anxiety Disorder,,I find it easy to breathe in and out.
Should my hands often be dry and warm?,Anxiety Disorder,,My hands are often dry and warm.
Should I fall asleep easily and sleep well through the night?,Anxiety Disorder,,I fall asleep easily and sleep well through the night.
"Should I try to control feelings of disappointment, regret, sadness, and anger?",Positive coping,,"Try to control feelings of disappointment, regret, sadness, and anger."
Should I attempt to rest or take a vacation to temporarily set aside problems or worries?,Positive coping,,Attempt to rest or take a vacation to temporarily set aside problems or worries.
"Should I relieve worries through smoking, drinking, taking medication, or eating?",Positive coping,,"Relieve worries through smoking, drinking, taking medication, or eating."
Should I believe that time will change the situation and the only thing to do is wait?,Positive coping,,Believe that time will change the situation and the only thing to do is wait.
Should I try to forget the entire situation?,Positive coping,,Try to forget the entire situation.
Should I rely on others to solve problems?,Positive coping,,Rely on others to solve problems.
Should I accept reality because there are no other options?,Positive coping,,Accept reality because there are no other options.
Should I fantasize that a miracle might happen to change the situation?,Positive coping,,Fantasize that a miracle might happen to change the situation.
Should I comfort myself?,Positive coping,,Comfort yourself.
Should I be confident in my ability to handle my personal problems?,Tendency to preceive stress,,I tend to be confident in my ability to handle my personal problems.
Should I feel that things are going well for me?,Tendency to preceive stress,,I tend to feel that things are going well for me.
Should I have ways to control the irritations in my life?,Tendency to preceive stress,,I have ways to control the irritations in my life.
Should I often feel that I'm in charge of the situation in my life?,Tendency to preceive stress,,I often feel that I'm in charge of the situation in my life.
Should I act quickly without thinking?,Deliberateness,,I act quickly without thinking.
Should I act wild and crazy?,Seriousness,,I act wild and crazy.
Should I act without planning?,Methodicalness,,I act without planning.
Should I consider myself a bad loser?,Good-natured,,I am a bad loser.
Am I a creature of habit?,Change,,I am a creature of habit.
Should I be annoyed by others' mistakes?,Agreeableness,,I am annoyed by others' mistakes.
Should I be attached to conventional ways?,Change,,I am attached to conventional ways.
Should I be continually losing things?,Order,,I am continually losing things.
Should I be easily moved to tears?,Self Reliance,,I am easily moved to tears.
Should I be easily offended?,Agreeableness,,I am easily offended.
Should I be hard to get to know?,Affiliation,,I am hard to get to know.
Should I not be bothered by disorder?,Methodicalness,,I am not bothered by disorder.
Am I not good at getting people to like me?,Extraversion,,I am not good at getting people to like me.
Am I not good at telling jokes?,Exhibition,,I am not good at telling jokes.
Should I not be highly motivated to succeed?,Dominance,,I am not highly motivated to succeed.
Should I not be interested in abstract ideas?,Openness to Experience,,I am not interested in abstract ideas.
Should I not be interested in theoretical discussions?,Openness to Experience,,I am not interested in theoretical discussions.
Should I be relaxed most of the time?,Seriousness,,I am relaxed most of the time.
Should I be willing to try anything once?,Seriousness,,I am willing to try anything once.
Should I avoid company?,Affiliation,,I avoid company.
Should I avoid contacts with others?,Affiliation,,I avoid contacts with others.
Should I avoid difficult reading material?,Understanding,,I avoid difficult reading material.
Should I avoid philosophical discussions?,Understanding,,I avoid philosophical discussions.
Should I believe appearances are important?,Independence,,I believe appearances are important.
Should I believe that too much tax money goes to support artists?,Breadth of Interest,,I believe that too much tax money goes to support artists.
Should I never be able to find anything?,Order,,I can never find anything.
Should I be unable to do without the company of others?,Autonomy,,I can't do without the company of others.
Should I not be able to stand being contradicted?,Good-natured,,I can't stand being contradicted.
Should I change myself to suit others?,Individualism,,I change myself to suit others.
Should I dislike changes?,Change,,I dislike changes.
Should I dislike having authority over others?,Dominance,,I dislike having authority over others.
Should I dislike taking responsibility for making decisions?,Dominance,,I dislike taking responsibility for making decisions.
Should I dislike the unknown?,Change,,I dislike the unknown.
Should I do just enough work to get by?,Achievement,,I do just enough work to get by.
Should I not enjoy going to art museums?,Breadth of Interest,,I do not enjoy going to art museums.
Should I not enjoy watching dance performances?,Breadth of Interest,,I do not enjoy watching dance performances.
Should I not like concerts?,Breadth of Interest,,I do not like concerts.
Should I not like poetry?,Breadth of Interest,,I do not like poetry.
Should I not care about rules?,Cognitive Structure,,I don't care about rules.
Should I not know why I do some of the things I do?,Deliberateness,,I don't know why I do some of the things I do.
Should I not let others take credit for my work?,Abasement,,I don't let others take credit for my work.
Should I dislike being away from civilization?,Autonomy,,I don't like being away from civilization.
Should I avoid drawing attention to myself?,Exhibition,,I don't like to draw attention to myself.
Should I not like to travel?,Change,,I don't like to travel.
Should I not pay attention?,Endurance,,I don't pay attention.
Should I not tolerate critics?,Good-natured,,I don't tolerate critics.
Should I enjoy being reckless?,Seriousness,,I enjoy being reckless.
Should I express childlike joy?,Seriousness,,I express childlike joy.
Should I feel that work is not an important part of my life?,Industriousness,,I feel that work is not an important part of my life.
Should I find it difficult to approach others?,Extraversion,,I find it difficult to approach others.
Should I find it difficult to get down to work?,Achievement,,I find it difficult to get down to work.
Should I get angry easily?,Even-tempered,,I get angry easily.
Should I get back at others?,Agreeableness,,I get back at others.
Should I get irritated easily?,Even-tempered,,I get irritated easily.
Should I get upset easily?,Even-tempered,,I get upset easily.
Should I give up easily?,Endurance,,I give up easily.
Should I hang around doing nothing?,Achievement,,I hang around doing nothing.
Should I have a lot of fun?,Seriousness,,I have a lot of fun.
Should I have a poor vocabulary?,Understanding,,I have a poor vocabulary.
Should I have a slow pace to my life?,Industriousness,,I have a slow pace to my life.
Should I have extra time on my hands?,Industriousness,,I have extra time on my hands.
Should I have little to say?,Exhibition,,I have little to say.
Should I have time for play and relaxation?,Seriousness,,I have time for play and relaxation.
Should I hold a grudge?,Agreeableness,,I hold a grudge.
Should I judge people by their appearance?,Individualism,,I judge people by their appearance.
Should I jump into things without thinking?,Deliberateness,,I jump into things without thinking.
Should I keep in the background?,Extraversion,,I keep in the background.
Should I keep my hair fashionable?,Autonomy,,I keep my hair fashionable.
Should I keep myself well-groomed?,Autonomy,,I keep myself well-groomed.
Should I keep others at a distance?,Affiliation,,I keep others at a distance.
Should I know how to enjoy myself?,Seriousness,,I know how to enjoy myself.
Do I lack the talent for influencing people?,Extraversion,,I lack the talent for influencing people.
Should I leave things unfinished?,Methodicalness,,I leave things unfinished.
Should I let myself be directed by others?,Self Reliance,,I let myself be directed by others.
Should I let myself go?,Seriousness,,I let myself go.
Should I let others down?,Cognitive Structure,,I let others down.
Should I like to act on a whim?,Deliberateness,,I like to act on a whim.
Should I lose my temper?,Even-tempered,,I lose my temper.
Should I love excitement?,Seriousness,,I love excitement.
Should I love to be complimented?,Independence,,I love to be complimented.
Should I make a mess of things?,Methodicalness,,I make a mess of things.
Should I make rash decisions?,Deliberateness,,I make rash decisions.
Do I mess things up?,Methodicalness,,I mess things up.
Do I need a push to get started?,Achievement,,I need a push to get started.
Do I need protection?,Self Reliance,,I need protection.
Do I need reassurance?,Independence,,I need reassurance.
Do I need the approval of others?,Independence,,I need the approval of others.
Should I often feel uncomfortable around others?,Affiliation,,I often feel uncomfortable around others.
Should I often need help?,Self Reliance,,I often need help.
Should I oppose authority?,Cognitive Structure,,I oppose authority.
Should I stick with things that I know?,Openness to Experience,,I prefer to stick with things that I know.
Should I put down others' proposals?,Good-natured,,I put down others' proposals.
Should I put little time and effort into my work?,Industriousness,,I put little time and effort into my work.
Should I put on a show to impress people?,Individualism,,I put on a show to impress people.
Should I rarely look for a deeper meaning in things?,Openness to Experience,,I rarely look for a deeper meaning in things.
Should I rush into things?,Deliberateness,,I rush into things.
Should I seek status?,Individualism,,I seek status.
Should I seek support?,Independence,,I seek support.
Should I shirk my duties?,Achievement,,I shirk my duties.
Should I snap at people?,Even-tempered,,I snap at people.
Should I talk about my worries?,Self Reliance,,I talk about my worries.
Should I try to avoid complex people?,Openness to Experience,,I try to avoid complex people.
Should I try to impress others?,Individualism,,I try to impress others.
Should I wait for others to lead the way?,Dominance,,I wait for others to lead the way.
Should I want to amount to something special in others' eyes?,Individualism,,I want to amount to something special in others' eyes.
Should I want to be liked?,Independence,,I want to be liked.
Should I want to have the last word?,Good-natured,,I want to have the last word.
Should I refuse to take the blame for something that's not my fault?,Abasement,,I won't take the blame for something that's not my fault.
Should I worry about what people think of me?,Individualism,,I worry about what people think of me.
Should I describe my experiences as somewhat dull?,Extraversion,,I would describe my experiences as somewhat dull.
Should I never go hang-gliding or bungee-jumping?,Change,,I would never go hang-gliding or bungee-jumping.
Would I not be a good comedian?,Exhibition,,I would not be a good comedian.
Should I act at the expense of others?,Morality,,I act at the expense of others.
Am I a creature of habit?,Cool-headedness,,I am a creature of habit.
Should I be a very private person?,Friendliness,,I am a very private person.
Should I be afraid to draw attention to myself?,Leadership,,I am afraid to draw attention to myself.
Should I be attached to conventional ways?,Cool-headedness,,I am attached to conventional ways.
Should I be easily confused?,Toughness,,I am easily confused.
Should I be easily distracted?,Purposefulness,,I am easily distracted.
Should I be easily disturbed?,Stability,,I am easily disturbed.
Should I be easily excited?,Impulse-Control,,I am easily excited.
Should I be easily frightened?,Toughness,,I am easily frightened.
Should I be easily hurt?,Toughness,,I am easily hurt.
Should I be easily moved to tears?,Imperturbability,,I am easily moved to tears.
Should I be easily offended?,Toughness,,I am easily offended.
Should I be easily talked into doing silly things?,Cautiousness,,I am easily talked into doing silly things.
Should I be filled with doubts about things?,Happiness,,I am filled with doubts about things.
Should I be guided by my moods?,Moderation,,I am guided by my moods.
Should I be hard to get to know?,Friendliness,,I am hard to get to know.
Should I be hard to satisfy?,Pleasantness,,I am hard to satisfy.
Should I be indifferent to the feelings of others?,Understanding,,I am indifferent to the feelings of others.
Should I be stricter?,Rationality,,I am not as strict as I should be.
Should I not be bothered by disorder?,Perfectionism,,I am not bothered by disorder.
Should I not be bothered by messy people?,Perfectionism,,I am not bothered by messy people.
Should I not be highly motivated to succeed?,Assertiveness,,I am not highly motivated to succeed.
Should I not be in touch with my feelings?,Empathy,,I am not in touch with my feelings.
Should I not be interested in other people's problems?,Understanding,,I am not interested in other people's problems.
Should I not be interested in speculating about things?,Creativity,,I am not interested in speculating about things.
Should I not be interested in theoretical discussions?,Creativity,,I am not interested in theoretical discussions.
Should I be unsure about where my life is going?,Moderation,,I am not sure where my life is going.
Should I often be in a bad mood?,Calmness,,I am often in a bad mood.
Should I often be late to work?,Conscientiousness,,I am often late to work.
Should I be quick to judge others?,Pleasantness,,I am quick to judge others.
Should I be quiet around strangers?,Gregariousness,,I am quiet around strangers.
Should I be swayed by my emotions?,Tranquility,,I am swayed by my emotions.
Should I amuse myself easily?,Sociability,,I amuse myself easily.
Should I avoid contacts with others?,Friendliness,,I avoid contacts with others.
Should I avoid difficult reading material?,Quickness,,I avoid difficult reading material.
Should I avoid philosophical discussions?,Creativity,,I avoid philosophical discussions.
Should I barge in on conversations?,Impulse-Control,,I barge in on conversations.
Should I become overwhelmed by events?,Toughness,,I become overwhelmed by events.
Should I believe only in myself?,Nurturance,,I believe only in myself.
Should I believe people should fend for themselves?,Sympathy,,I believe people should fend for themselves.
Should I believe that criminals should receive help rather than punishment?,Rationality,,I believe that criminals should receive help rather than punishment
Should I believe that I am better than others?,Nurturance,,I believe that I am better than others.
Should I blurt out whatever comes into my mind?,Impulse-Control,,I blurt out whatever comes into my mind.
Should I bottle up my feelings?,Gregariousness,,I bottle up my feelings.
Should I break rules?,Morality,,I break rules.
Should I burst into tears?,Imperturbability,,I burst into tears.
Can I be stirred up easily?,Tranquility,,I can be stirred up easily.
Should I not be bothered with others' needs?,Understanding,,I can't be bothered with other's needs.
Should I be unable to come up with new ideas?,Ingenuity,,I can't come up with new ideas.
Should I be unable to concentrate?,Moderation,,I can't concentrate.
Should I be unable to make up my mind?,Purposefulness,,I can't make up my mind.
Should I not be able to stand being alone?,Introspection,,I can't stand being alone.
Should I not be able to stand being contradicted?,Cool-headedness,,I can't stand being contradicted.
Should I be unable to stand confrontations?,Provocativeness,,I can't stand confrontations.
Should I change my mood a lot?,Stability,,I change my mood a lot.
Should I comment loudly about others?,Cooperation,,I comment loudly about others.
Should I consider myself an average person?,Creativity,,I consider myself an average person.
Should I contradict others?,Pleasantness,,I contradict others.
Should I criticize others' shortcomings?,Pleasantness,,I criticize others' shortcomings.
Should I cry during movies?,Imperturbability,,I cry during movies.
Should I cry easily?,Imperturbability,,I cry easily.
Should I demand a lot from others?,Sympathy,,I demand a lot from others.
Should I demand attention?,Impulse-Control,,I demand attention.
Should I demand obedience?,Cool-headedness,,I demand obedience.
Should I dislike learning?,Intellect,,I dislike learning.
Should I dislike myself?,Happiness,,I dislike myself.
Should I dislike neighbors living too close?,Sociability,,I dislike neighbors living too close.
Should I dislike routine?,Orderliness,,I dislike routine.
Should I dislike talking about myself?,Talkativeness,,I dislike talking about myself.
Should I disregard rules?,Dutifulness,,I disregard rules.
Should I do crazy things?,Cautiousness,,I do crazy things.
Should I do dangerous things?,Cooperation,,I do dangerous things.
Should I do improper things?,Dutifulness,,I do improper things.
Should I not enjoy going to art museums?,Imagination,,I do not enjoy going to art museums.
Should I not enjoy watching dance performances?,Reflection,,I do not enjoy watching dance performances.
Should I believe that I do not have a good imagination?,Ingenuity,,I do not have a good imagination.
Should I not like art?,Imagination,,I do not like art.
Should I not like concerts?,Reflection,,I do not like concerts.
Should I not like poetry?,Imagination,,I do not like poetry.
Should I not plan ahead?,Conscientiousness,,I do not plan ahead.
Should I do the opposite of what is asked?,Dutifulness,,I do the opposite of what is asked.
Should I do things at the last minute?,Purposefulness,,I do things at the last minute.
Should I do things I later regret?,Moderation,,I do things I later regret.
Should I do things in a half-way manner?,Rationality,,I do things in a half-way manner.
Should I not call people just to talk?,Tenderness,,I don't call people just to talk.
Should I not care about dressing nicely?,Tenderness,,I don't care about dressing nicely.
Should I not care about rules?,Morality,,I don't care about rules.
Should I avoid falling for sob stories?,Sympathy,,I don't fall for sob stories.
Should I not get excited about things?,Tenderness,,I don't get excited about things.
Should I not have a soft side?,Empathy,,I don't have a soft side.
Should I not know why I do some of the things I do?,Moderation,,I don't know why I do some of the things I do.
Should I dislike crowded events?,Sociability,,I don't like crowded events.
Should I not like to draw attention to myself?,Gregariousness,,I don't like to draw attention to myself.
Should I not like to ponder over things?,Introspection,,I don't like to ponder over things.
Should I not pay attention?,Organization,,I don't pay attention.
Should I not see things through?,Purposefulness,,I don't see things through.
Should I not talk a lot?,Gregariousness,,I don't talk a lot.
Should I think laws don't apply to me?,Dutifulness,,I don't think laws apply to me.
Should I not understand people who get emotional?,Tenderness,,I don't understand people who get emotional.
Should I not understand things?,Quickness,,I don't understand things.
Should I enjoy being reckless?,Cooperation,,I enjoy being reckless.
Should I enjoy crude jokes?,Cooperation,,I enjoy crude jokes.
Should I enjoy silence?,Sociability,,I enjoy silence.
Should I experience my emotions intensely?,Tranquility,,I experience my emotions intensely.
Should I feel crushed by setbacks?,Toughness,,I feel crushed by setbacks.
Should I feel little concern for others?,Understanding,,I feel little concern for others.
Should I feel threatened easily?,Happiness,,I feel threatened easily.
Should I find it difficult to approach others?,Poise,,I find it difficult to approach others.
Should I find it difficult to get down to work?,Efficiency,,I find it difficult to get down to work.
Should I find it hard to forgive others?,Pleasantness,,I find it hard to forgive others.
Should I frequently forget to do things?,Efficiency,,I frequently forget to do things.
Should I get caught up in my problems?,Stability,,I get caught up in my problems.
Should I get furious?,Calmness,,I get furious.
Should I get out of control?,Moderation,,I get out of control.
Should I get overwhelmed by emotions?,Imperturbability,,I get overwhelmed by emotions.
Should I get stressed out easily?,Stability,,I get stressed out easily.
